  2.02E-01	 -6.00E-01	  2.57E+00	       0.7	      0.75	      0.56	       1.0	       0.0	      -0.0	      -1.0	       0.0
  2.02E-01	 -6.00E-01	  2.40E+00	       0.7	      0.75	      0.56	       1.0	       1.0	      -0.0	      -1.0	       0.0
  4.66E-01	 -6.00E-01	  2.40E+00	       0.7	      0.75	      0.56	       0.0	       1.0	      -0.0	      -1.0	       0.0
  7.06E-01	 -6.00E-01	  4.23E+00	       0.7	      0.75	      0.56	       0.0	       0.0	       0.0	      -1.0	       0.0
  7.06E-01	 -6.00E-01	  4.05E+00	       0.7	      0.75	      0.56	       1.0	       0.0	       0.0	      -1.0	       0.0
  8.81E-01	 -6.00E-01	  4.05E+00	       0.7	      0.75	      0.56	       1.0	       1.0	       0.0	      -1.0	       0.0
  8.81E-01	 -6.00E-01	  4.23E+00	       0.7	      0.75	      0.56	       0.0	       1.0	       0.0	      -1.0	       0.0
  0.00E+00	 -6.00E-01	  2.96E+00	       0.7	      0.75	      0.56	       0.0	       0.0	       0.0	      -1.0	       0.0
  0.00E+00	 -6.00E-01	  3.14E+00	       0.7	      0.75	      0.56	       1.0	       0.0	       0.0	      -1.0	       0.0
 -8.20E-02	 -6.00E-01	  3.14E+00	       0.7	      0.75	      0.56	       1.0	       1.0	       0.0	      -1.0	       0.0
 -8.20E-02	 -6.00E-01	  2.96E+00	       0.7	      0.75	      0.56	       0.0	       1.0	       0.0	      -1.0	       0.0
  8.20E-02	 -6.00E-01	  2.96E+00	       0.7	      0.75	      0.56	       0.0	       0.0	       0.0	      -1.0	       0.0
  8.20E-02	 -6.00E-01	  3.14E+00	       0.7	      0.75	      0.56	       1.0	       0.0	       0.0	      -1.0	       0.0
  0.00E+00	 -6.00E-01	  3.14E+00	       0.7	      0.75	      0.56	       1.0	       1.0	       0.0	      -1.0	       0.0
  0.00E+00	 -6.00E-01	  2.96E+00	       0.7	      0.75	      0.56	       0.0	       1.0	       0.0	      -1.0	       0.0
  8.20E-02	 -6.00E-01	  3.22E+00	       0.7	      0.75	      0.56	       0.0	       0.0	       0.0	      -1.0	       0.0
  8.20E-02	 -6.00E-01	  3.39E+00	       0.7	      0.75	      0.56	       1.0	       0.0	       0.0	      -1.0	       0.0
  0.00E+00	 -6.00E-01	  3.39E+00	       0.7	      0.75	      0.56	       1.0	       1.0	       0.0	      -1.0	       0.0
  0.00E+00	 -6.00E-01	  3.22E+00	       0.7	      0.75	      0.56	       0.0	       1.0	       0.0	      -1.0	       0.0
  0.00E+00	 -6.00E-01	  3.22E+00	       0.7	      0.75	      0.56	       0.0	       0.0	       0.0	      -1.0	       0.0
  0.00E+00	 -6.00E-01	  3.39E+00	       0.7	      0.75	      0.56	       1.0	       0.0	       0.0	      -1.0	       0.0
 -8.20E-02	 -6.00E-01	  3.39E+00	       0.7	      0.75	      0.56	       1.0	       1.0	       0.0	      -1.0	       0.0
 -8.20E-02	 -6.00E-01	  3.22E+00	       0.7	      0.75	      0.56	       0.0	       1.0	       0.0	      -1.0	       0.0
  0.00E+00	 -6.00E-01	  3.57E+00	       0.7	      0.75	      0.56	       0.0	       0.0	       0.0	      -1.0	       0.0
